R,G,B,Plant,Type,Hours per day, Total Days,Fresh weight (g),FW(%),FW per Hrs
88.88,0,11.11,Chinese Kale,3,12,34,44.9,14.834%,0.036%
66.66,0,33.33,Chinese Kale,3,12,34,37,-5.371%,-0.013%
0,0,100,Lettuce ,3,12,25,3.4,-93.608%,-0.312%
80,0,20,Lettuce ,3,12,25,32.7,-38.522%,-0.128%
88.88,0,11.11,Lettuce ,3,12,25,73.78,38.710%,0.129%
92.3,0,7.7,Lettuce ,3,12,25,64.14,20.587%,0.069%
0,0,100,Lettuce ,3,12,25,66.08,24.234%,0.081%
0,0,100,Lettuce ,3,12,25,13.62,-63.757%,-0.213%
80,0,20,Lettuce ,3,12,25,82.78,120.277%,0.401%
88.88,0,11.11,Lettuce ,3,12,25,118.04,214.103%,0.714%
92.3,0,7.7,Lettuce ,3,12,25,103.86,176.370%,0.588%
100,0,0,Lettuce ,3,12,25,66.33,76.503%,0.255%
66.66,0,33.33,Lettuce ,3,16,15,9.1,-37.241%,-0.155%
75,0,25,Lettuce ,3,16,15,10,-31.034%,-0.129%
80,0,20,Lettuce ,3,16,15,9.2,-36.552%,-0.152%
88.88,0,11.11,Lettuce ,3,16,15,12.4,-14.483%,-0.060%
100,0,0,Red Oakleaf,3,16,42,21.51,-15.944%,-0.024%
80,0,20,Red Oakleaf,3,16,42,20.14,78.703%,0.117%
50,0,50,Red Oakleaf,3,16,42,18.65,-27.120%,-0.040%
20,0,80,Red Oakleaf,3,16,42,18.55,-27.511%,-0.041%
0,0,100,Red Oakleaf,3,16,42,22.33,-12.739%,-0.019%
90,0,10,lettuce,3,16,15,36.93,-19.700%,-0.082%
100,0,0,potato,2,16,28,0.2965,-25.949%,-0.058%
0,0,100,potato,2,16,28,0.31491,-21.351%,-0.048%
65,0,35,potato,2,16,28,0.414,3.397%,0.008%
45,20,35,potato,2,16,28,0.4302,7.443%,0.017%
50,0,50,lettuce,3,16,20,136.3,-8.523%,-0.027%
66,0,33,tomato,2,15,120,26.55,-7.940%,-0.004%
66,33,0,tomato,2,15,120,29.13,1.006%,0.001%
66,0,33,tomato,2,15,120,33.29,15.430%,0.009%
66,33,0,tomato,2,15,120,27.98,-2.982%,-0.002%
0,0,100,lettuce,3,24,28,4.69,21.818%,0.032%
100,0,0,lettuce,3,24,28,0.2487,-93.540%,-0.139%
0,0,100,Myrtus communis,1,24,42,0.2756,53.367%,0.053%
70,0,30,Myrtus communis,1,24,42,0.2385,32.721%,0.032%
100,0,0,Myrtus communis,1,24,42,0.2217,23.372%,0.023%
100,0,0,vanilla,1,16,60,1.4312,-40.828%,-0.043%
0,0,100,vanilla,1,16,60,1.5312,-36.693%,-0.038%
50,0,50,vanilla,1,16,60,2.7642,14.285%,0.015%
30,0,70,mini chal tomato,2,24,21,3.74,21.429%,0.043%
20,20,60,mini chal tomato,2,24,21,3.23,4.870%,0.010%
20,40,40,mini chal tomato,2,24,21,3.45,12.013%,0.024%
100,0,0,Chinese Cabbage,3,12,60,5.93,329.710%,0.458%
0,0,100,Chinese Cabbage,3,12,60,6.67,383.333%,0.532%
50,0,50,Chinese Cabbage,3,12,60,5.28,282.609%,0.393%
