R,G,B,Plant,Type,Fresh weight (g),Plant height (cm),FW(%),PH(%),FW,PH
100,0,0,Artichoke (cardoon),3,,22,,34.146,,1
100,0,0,Artichoke (GreenGlobe),3,,19.5,,107.447,,1
100,0,0,Artichoke (violetto),3,,20,,78.571,,1
0,0,100,Artichoke (cardoon),3,,12.5,,-23.780,,0
0,0,100,Artichoke (GreenGlobe),3,,11,,17.021,,1
0,0,100,Artichoke (violetto),3,,10,,-10.714,,0
88.88,0,11.11,Chinese Kale,3,44.9,25.5,14.834,11.842,1,1
66.66,0,33.33,Chinese Kale,3,37,23.8,-5.371,4.386,0,1
75,0,25,Tomatoes,2,,32,,-5.882,,0
75,0,25,Tomatoes,2,,28,,-12.500,,0
0,0,100,Lettuce ,3,3.4,,-93.608,,0,
80,0,20,Lettuce ,3,32.7,,-38.522,,0,
88.88,0,11.11,Lettuce ,3,73.78,,38.710,,1,
92.3,0,7.7,Lettuce ,3,64.14,,20.587,,1,
0,0,100,Lettuce ,3,66.08,,24.234,,1,
0,0,100,Lettuce ,3,13.62,,-63.757,,0,
80,0,20,Lettuce ,3,82.78,,120.277,,1,
88.88,0,11.11,Lettuce ,3,118.04,,214.103,,1,
92.3,0,7.7,Lettuce ,3,103.86,,176.370,,1,
100,0,0,Lettuce ,3,66.33,,76.503,,1,
66.66,0,33.33,Lettuce ,3,9.1,,-37.241,,0,
75,0,25,Lettuce ,3,10,,-31.034,,0,
80,0,20,Lettuce ,3,9.2,,-36.552,,0,
88.88,0,11.11,Lettuce ,3,12.4,,-14.483,,0,
100,0,0,Red Oakleaf,3,21.51,,-15.944,,0,
80,0,20,Red Oakleaf,3,20.14,,78.703,,1,
50,0,50,Red Oakleaf,3,18.65,,-27.120,,0,
20,0,80,Red Oakleaf,3,18.55,,-27.511,,0,
0,0,100,Red Oakleaf,3,22.33,,-12.739,,0,
90,0,10,cucumber,2,,7.6,,-17.391,,0
90,0,10,lettuce,3,36.93,,-19.700,,0,
100,0,0,potato,2,0.2965,11.2,-25.949,74.455,0,1
0,0,100,potato,2,0.31491,3.03,-21.351,-52.804,0,0
65,0,35,potato,2,0.414,8.77,3.397,36.604,1,1
45,20,35,potato,2,0.4302,7.27,7.443,13.240,1,1
50,0,50,potato leaf,3,,25.73,,-1.266,,0
0,0,100,potato leaf,3,,28.93,,11.013,,1
100,0,0,potato leaf,3,,25.44,,-2.379,,0
100,0,0,Morning Glory,3,,29.75,,93.811,,1
0,0,100,Morning Glory,3,,19.05,,24.104,,1
50,0,50,Morning Glory,3,,18.79,,22.410,,1
66.66,0,33.33,Morning Glory,3,,20.53,,33.746,,1
50,0,50,lettuce,3,136.3,,-8.523,,0,
66,0,33,tomato,2,26.55,76.66,-7.940,50.314,0,1
66,33,0,tomato,2,29.13,114.33,1.006,124.176,1,1
66,0,33,tomato,2,33.29,69.67,15.430,36.608,1,1
66,33,0,tomato,2,27.98,119,-2.982,133.333,0,1
100,0,0,Oncidium,1,,3.925,,22.656,,1
90,,10,Oncidium,1,,3.375,,5.469,,1
80,,20,Oncidium,1,,3.5,,9.375,,1
70,,30,Oncidium,1,,3.8,,18.750,,1
0,0,100,Oncidium,1,,2.675,,-16.406,,0
80,10,10,Oncidium,1,,3.35,,4.688,,1
100,0,0,tomato,2,,12.4,,-32.609,,0
0,0,100,tomato,2,,10.8,,-41.304,,0
66.66,0,33.33,tomato,2,,12,,-34.783,,0
33.33,0,66.66,tomato,2,,11.6,,-36.957,,0
100,0,0,pepper,2,,8.92,,-41.316,,0
0,0,100,pepper,2,,7.48,,-50.789,,0
66.66,0,33.33,pepper,2,,8.72,,-42.632,,0
33.33,0,66.66,pepper,2,,7,,-53.947,,0
0,0,100,lettuce,3,4.69,,21.818,,1,
100,0,0,lettuce,3,0.2487,,-93.540,,0,
0,0,100,Myrtus communis,1,0.2756,,53.367,,1,
70,0,30,Myrtus communis,1,0.2385,,32.721,,1,
100,0,0,Myrtus communis,1,0.2217,,23.372,,1,
66.66,0,33.33,Brassica napus,3,,10.23,,-8.905,,0
66.66,0,33.33,Brassica napus,3,,9.7,,-13.624,,0
66.66,0,33.33,Brassica napus,3,,8.13,,-27.605,,0
100,0,0,vanilla,1,1.4312,4.4,-40.828,-22.807,0,0
0,0,100,vanilla,1,1.5312,3.2,-36.693,-43.860,0,0
50,0,50,vanilla,1,2.7642,4.1,14.285,-28.070,1,0
30,0,70,mini chal tomato,2,3.74,12,21.429,-20.000,1,0
20,20,60,mini chal tomato,2,3.23,13,4.870,-13.333,1,0
20,40,40,mini chal tomato,2,3.45,15.2,12.013,1.333,1,1
93,0,7,Basil,3,,19,,-9.524,,0
70,0,30,Basil,3,,19.5,,-7.143,,0
93,0,7,Dill,3,,24.5,,16.667,,1
70,0,30,Dill,3,,24.5,,16.667,,1
93,0,7,Parsley,3,,20.5,,-2.381,,0
70,0,30,Parsley,3,,19.5,,-7.143,,0
100,0,,lettuce,3,,12.5,,8.696,,1
0,0,100,lettuce,3,,12.3,,6.957,,1
50,0,50,lettuce,3,,12,,4.348,,1
75,0,25,Lettice green oak.,3,,7.5,,12.444,,1
100,0,0,Chinese Cabbage,3,5.93,,329.710,,1,
0,0,100,Chinese Cabbage,3,6.67,,383.333,,1,
50,0,50,Chinese Cabbage,3,5.28,,282.609,,1,
