R,G,B,type,PPFD,Plant height (cm)
100,0,0,3,236.54,22
100,0,0,3,236.54,19.5
100,0,0,3,236.54,20
0,0,100,3,41.14,12.5
0,0,100,3,41.14,11
0,0,100,3,41.14,10
88.88,0,11.11,3,120,25.5
66.66,0,33.33,3,120,23.8
75,0,25,2,120,32
75,0,25,2,80,28
85,0,15,1,160,3.78
85,0,15,1,160,5.4
85,0,15,1,160,6.9
40,40,20,1,160,3.85
40,40,20,1,160,5.65
40,40,20,1,160,7.2
63,0,37,2,300,106.5
83,0,17,3,200,19.52
91,0,9,3,200,19.33
95,0,5,3,200,18.17
100,0,0,3,200,24.33
83,0,17,3,200,31.35
91,0,9,3,200,35.6
95,0,5,3,200,29.83
100,0,0,3,200,35.17
83,0,17,3,200,46.05
91,0,9,3,200,46.43
95,0,5,3,200,47.38
100,0,0,3,200,51.63
83,0,17,3,200,45.68
91,0,9,3,200,47.33
95,0,5,3,200,48.05
100,0,0,3,200,51.12
83,0,17,2,200,467.48
91,0,9,2,200,492.27
95,0,5,2,200,568.33
100,0,0,2,200,459.42
16.66,0,83.33,3,90,9.7
25,0,75,3,90,10.1
50,0,50,3,90,11
75,0,25,3,90,11.9
83.33,0,16.66,3,90,12.7
90,0,10,3,230,7.6
66.66,16.66,16.66,3,180,18.78
50,25,25,3,180,15
33.33,33.33,33.33,3,180,11.85
66.66,16.66,16.66,3,180,26.25
50,25,25,3,180,25.75
33.33,33.33,33.33,3,180,24.81
100,0,0,2,100,11.2
0,0,100,2,100,3.03
65,0,35,2,100,8.77
45,20,35,2,100,7.27
50,0,50,3,300,25.73
0,0,100,3,300,28.93
100,0,0,3,300,25.44
100,0,0,1,50,3.925
90,0,10,1,50,3.375
80,0,20,1,50,3.5
70,0,30,1,50,3.8
0,0,100,1,50,2.675
80,10,10,1,50,3.35
100,0,0,2,300,12.4
0,0,100,2,300,10.8
66.66,0,33.33,2,300,12
33.33,0,66.66,2,300,11.6
100,0,0,2,300,8.92
0,0,100,2,300,7.48
66.66,0,33.33,2,300,8.72
33.33,0,66.66,2,300,7
66.66,0,33.33,3,400,10.23
66.66,0,33.33,3,300,9.7
66.66,0,33.33,3,200,8.13
76,0,24,3,220,22
44,32,24,3,220,25
74,10,16,3,220,22
42,13,45,3,220,23
76,0,24,3,220,20
44,32,24,3,220,20
74,10,16,3,220,29
42,13,45,3,220,20.5
100,0,0,1,25,4.4
0,0,100,1,25,3.2
50,0,50,1,25,4.1
100,0,0,2,50,4.494
0,0,100,2,50,3.058
0,0,100,3,50,25.6
0,0,100,3,100,24.27
0,0,100,3,150,19.13
