R,G,B,Plant,Type,Hours per day, Total Days,Fresh weight (g),Plant height (cm),FW,PH,FW per Hrs,PH per Hrs
100,0,0,Artichoke (cardoon),3,8,30,,22,,34.146%,,0.142%
100,0,0,Artichoke (GreenGlobe),3,8,30,,19.5,,107.447%,,0.448%
100,0,0,Artichoke (violetto),3,8,30,,20,,78.571%,,0.327%
0,0,100,Artichoke (cardoon),3,8,30,,12.5,,-23.780%,,-0.099%
0,0,100,Artichoke (GreenGlobe),3,8,30,,11,,17.021%,,0.071%
0,0,100,Artichoke (violetto),3,8,30,,10,,-10.714%,,-0.045%
88.88,0,11.11,Chinese Kale,3,12,34,44.9,25.5,14.834%,11.842%,0.036%,0.029%
66.66,0,33.33,Chinese Kale,3,12,34,37,23.8,-5.371%,4.386%,-0.013%,0.011%
75,0,25,Tomatoes,2,12,30,,32,,-5.882%,,-0.016%
75,0,25,Tomatoes,2,12,30,,28,,-12.500%,,-0.035%
0,0,100,Lettuce ,3,12,25,3.4,,-93.608%,,-0.312%,
80,0,20,Lettuce ,3,12,25,32.7,,-38.522%,,-0.128%,
88.88,0,11.11,Lettuce ,3,12,25,73.78,,38.710%,,0.129%,
92.3,0,7.7,Lettuce ,3,12,25,64.14,,20.587%,,0.069%,
0,0,100,Lettuce ,3,12,25,66.08,,24.234%,,0.081%,
0,0,100,Lettuce ,3,12,25,13.62,,-63.757%,,-0.213%,
80,0,20,Lettuce ,3,12,25,82.78,,120.277%,,0.401%,
88.88,0,11.11,Lettuce ,3,12,25,118.04,,214.103%,,0.714%,
92.3,0,7.7,Lettuce ,3,12,25,103.86,,176.370%,,0.588%,
100,0,0,Lettuce ,3,12,25,66.33,,76.503%,,0.255%,
66.66,0,33.33,Lettuce ,3,16,15,9.1,,-37.241%,,-0.155%,
75,0,25,Lettuce ,3,16,15,10,,-31.034%,,-0.129%,
80,0,20,Lettuce ,3,16,15,9.2,,-36.552%,,-0.152%,
88.88,0,11.11,Lettuce ,3,16,15,12.4,,-14.483%,,-0.060%,
100,0,0,Red Oakleaf,3,16,42,21.51,,-15.944%,,-0.024%,
80,0,20,Red Oakleaf,3,16,42,20.14,,78.703%,,0.117%,
50,0,50,Red Oakleaf,3,16,42,18.65,,-27.120%,,-0.040%,
20,0,80,Red Oakleaf,3,16,42,18.55,,-27.511%,,-0.041%,
